year,statefip,incwage,rentgrs,foodstmp,age,sex,marst,race,hispan,labforce,school
2004,nebraska,4000,0,no,18,male,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,virginia,0,0,no,58,male,"married, spouse present",other asian or pacific islander,not hispanic,"no, not in the labor force","no, not in school"
2004,alabama,0,0,no,58,male,divorced,white,not hispanic,"no, not in the labor force","no, not in school"
2004,missouri,999999,0,yes,9,female,never married/single,white,mexican,n/a,"yes, in school"
2004,tennessee,999999,893,no,13,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,wyoming,51000,0,no,49,female,divorced,white,not hispanic,"yes, in the labor force","yes, in school"
2004,georgia,23000,0,no,32,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,100000,0,no,56,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,new jersey,999999,0,no,10,female,never married/single,other asian or pacific islander,not hispanic,n/a,"yes, in school"
2004,oklahoma,999999,0,no,4,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,california,999999,867,no,10,male,never married/single,"other race, nec",mexican,n/a,"yes, in school"
2004,massachusetts,999999,0,no,0,male,never married/single,white,not hispanic,n/a,n/a
2004,georgia,0,0,no,18,male,never married/single,black/african american/negro,not hispanic,"no, not in the labor force","yes, in school"
2004,tennessee,13000,0,no,44,female,"married, spouse present",black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2004,new york,999999,850,no,11,female,never married/single,"other race, nec",mexican,n/a,"yes, in school"
2004,florida,9500,0,no,23,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,idaho,0,0,no,62,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north dakota,12000,615,yes,32,female,divorced,american indian or alaska native,not hispanic,"yes, in the labor force","no, not in school"
2004,tennessee,999999,0,no,15,male,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,kentucky,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,new jersey,25000,960,no,44,male,never married/single,"other race, nec",puerto rican,"yes, in the labor force","no, not in school"
2004,north dakota,999999,590,no,3,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,illinois,999999,0,no,2,male,never married/single,white,not hispanic,n/a,n/a
2004,kentucky,999999,0,no,6,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,ohio,35000,0,no,52,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,georgia,3000,0,no,63,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,52000,0,no,57,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,colorado,0,0,no,59,female,widowed,black/african american/negro,not hispanic,"no, not in the labor force","no, not in school"
2004,arizona,42300,0,no,36,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,nevada,0,0,no,40,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,california,20000,1070,no,32,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,0,0,no,55,female,"married, spouse present","other race, nec",mexican,"no, not in the labor force","no, not in school"
2004,pennsylvania,35000,0,no,48,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,100000,0,no,45,male,"married, spouse present",chinese,not hispanic,"yes, in the labor force","no, not in school"
2004,utah,13700,638,no,50,female,"married, spouse present","other race, nec",other,"yes, in the labor force","no, not in school"
2004,rhode island,31000,880,no,29,female,never married/single,white,puerto rican,"yes, in the labor force","no, not in school"
2004,kansas,32000,0,no,43,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,6100,0,no,17,female,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2004,massachusetts,0,0,no,86,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,vermont,10000,0,no,55,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,idaho,0,0,no,62,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,0,0,no,77,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,indiana,0,0,no,62,female,"married, spouse present",other asian or pacific islander,not hispanic,"yes, in the labor force","no, not in school"
2004,north dakota,999999,0,no,13,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,massachusetts,110000,0,no,29,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,michigan,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,illinois,660,0,no,82,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,999999,0,yes,0,female,never married/single,black/african american/negro,not hispanic,n/a,n/a
2004,new york,10000,950,no,38,male,"married, spouse present",black/african american/negro,puerto rican,"yes, in the labor force","no, not in school"
2004,california,24000,0,no,28,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,connecticut,42700,0,no,42,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,illinois,18000,0,no,36,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,indiana,37000,0,no,31,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,district of columbia,7300,420,no,46,male,"married, spouse present",black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,8000,0,no,20,female,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2004,new york,0,0,no,17,male,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,pennsylvania,0,486,no,77,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,south dakota,999999,0,no,2,female,never married/single,white,not hispanic,n/a,n/a
2004,texas,0,0,no,62,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,pennsylvania,55000,820,no,26,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,missouri,89000,0,no,55,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,0,0,no,74,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,illinois,0,610,yes,18,male,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2004,minnesota,999999,990,yes,8,female,never married/single,two major races,not hispanic,n/a,"yes, in school"
2004,colorado,999999,1500,no,15,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,wisconsin,999999,0,no,12,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,georgia,26400,1037,no,28,female,"married, spouse present",white,not hispanic,"no, not in the labor force","yes, in school"
2004,ohio,31400,0,no,39,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,new jersey,21000,0,no,59,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,oregon,0,0,no,68,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,iowa,16000,0,no,38,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,colorado,64000,0,no,42,male,"married, spouse present",white,not hispanic,"yes, in the labor force","yes, in school"
2004,arizona,999999,640,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,texas,0,0,no,46,male,"married, spouse present",black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2004,virginia,999999,817,yes,4,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,rhode island,54000,0,no,32,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,illinois,1200,0,no,22,female,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,south dakota,48000,0,no,51,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,70000,930,no,34,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,montana,0,490,no,33,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,999999,1170,yes,10,female,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,oregon,35000,0,no,34,female,divorced,three or more major races,not hispanic,"yes, in the labor force","yes, in school"
2004,illinois,999999,0,no,14,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,rhode island,0,0,no,78,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,0,0,no,17,female,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2004,massachusetts,45000,0,no,42,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north carolina,33000,0,no,55,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,minnesota,999999,0,no,1,female,never married/single,white,not hispanic,n/a,n/a
2004,florida,84000,0,no,62,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,0,0,no,59,female,"married, spouse present",black/african american/negro,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,999999,1001,no,1,female,never married/single,black/african american/negro,not hispanic,n/a,n/a
2004,pennsylvania,47000,0,no,55,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north carolina,75000,0,no,37,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,michigan,27300,0,no,57,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,west virginia,0,0,no,71,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,california,999999,590,no,0,male,never married/single,white,mexican,n/a,n/a
2004,rhode island,0,0,no,87,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,new york,999999,0,no,4,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,south carolina,999999,0,no,10,female,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,texas,0,0,no,64,male,"married, spouse present",white,mexican,"no, not in the labor force","no, not in school"
2004,ohio,999999,0,no,14,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,illinois,10700,0,no,59,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,arizona,999999,700,yes,6,female,never married/single,"other race, nec",mexican,n/a,"yes, in school"
2004,north dakota,40000,337,no,26,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,0,0,no,60,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,minnesota,58000,580,no,56,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,22000,455,no,28,male,"married, spouse present",white,mexican,"yes, in the labor force","no, not in school"
2004,ohio,0,0,no,64,female,divorced,white,not hispanic,"no, not in the labor force","no, not in school"
2004,north carolina,0,0,no,59,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,nebraska,20000,0,no,54,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,oregon,999999,0,no,13,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,alabama,10000,0,no,45,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,west virginia,18200,0,yes,58,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,0,1230,no,55,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,ohio,0,0,no,16,female,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,texas,0,0,no,82,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,massachusetts,40000,0,no,51,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,999999,760,no,11,male,never married/single,two major races,mexican,n/a,"yes, in school"
2004,colorado,28000,0,no,29,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,hawaii,30600,0,no,27,male,"married, spouse present",chinese,not hispanic,"yes, in the labor force","no, not in school"
2004,kansas,999999,0,no,9,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,illinois,50000,0,no,34,female,divorced,white,not hispanic,"no, not in the labor force","no, not in school"
2004,utah,8600,0,no,62,male,"married, spouse present",other asian or pacific islander,not hispanic,"no, not in the labor force","no, not in school"
2004,colorado,999999,0,no,7,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,florida,0,0,no,61,female,never married/single,black/african american/negro,not hispanic,"no, not in the labor force","no, not in school"
2004,kentucky,999999,0,no,10,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,new jersey,0,740,no,69,male,divorced,"other race, nec",puerto rican,"yes, in the labor force","no, not in school"
2004,new mexico,999999,1000,yes,10,male,never married/single,white,other,n/a,"yes, in school"
2004,ohio,44000,423,no,53,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,district of columbia,25000,0,no,42,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,north carolina,52000,0,no,50,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,tennessee,0,0,no,56,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,indiana,17900,0,no,27,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,washington,0,0,no,16,male,never married/single,white,not hispanic,"no, not in the labor force","yes, in school"
2004,tennessee,34000,0,no,27,female,"married, spouse present",white,not hispanic,"yes, in the labor force","yes, in school"
2004,california,35000,0,no,27,male,"married, spouse present",white,other,"yes, in the labor force","no, not in school"
2004,south carolina,2400,392,yes,31,male,never married/single,black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2004,georgia,20000,0,no,38,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,iowa,18000,0,no,45,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,kansas,38000,0,no,38,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,new jersey,43400,0,no,40,male,separated,white,not hispanic,"yes, in the labor force","no, not in school"
2004,north carolina,0,0,no,49,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,california,90000,0,no,55,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,kansas,10500,0,no,60,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,mississippi,75000,0,no,54,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,38000,0,no,32,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,0,0,no,64,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,georgia,999999,0,no,0,female,never married/single,white,not hispanic,n/a,n/a
2004,wisconsin,36000,0,no,61,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,nebraska,35000,0,no,28,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,999999,0,no,1,male,never married/single,white,not hispanic,n/a,n/a
2004,texas,12700,203,yes,34,female,divorced,"other race, nec",mexican,"yes, in the labor force","no, not in school"
2004,illinois,0,0,no,22,female,never married/single,white,not hispanic,"no, not in the labor force","no, not in school"
2004,florida,999999,0,no,13,male,never married/single,white,other,n/a,"yes, in school"
2004,florida,3600,0,no,26,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,alaska,11800,0,no,34,female,"married, spouse present",white,mexican,"yes, in the labor force","no, not in school"
2004,california,999999,0,no,8,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,new york,2500,0,no,51,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,wisconsin,999999,0,no,11,female,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,west virginia,0,0,no,70,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,north carolina,999999,0,no,8,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,texas,31000,0,no,31,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,indiana,0,0,no,84,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,texas,35000,0,no,56,male,"married, spouse present",white,mexican,"yes, in the labor force","no, not in school"
2004,pennsylvania,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,wisconsin,0,0,no,41,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,north dakota,999999,0,yes,10,male,never married/single,american indian or alaska native,not hispanic,n/a,"yes, in school"
2004,california,999999,0,no,13,male,never married/single,white,mexican,n/a,"yes, in school"
2004,north dakota,42000,0,no,50,male,never married/single,white,not hispanic,"no, not in the labor force","no, not in school"
2004,idaho,14000,0,no,21,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,13000,0,no,39,male,"married, spouse present","other race, nec",mexican,"yes, in the labor force","no, not in school"
2004,florida,32000,0,no,54,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,georgia,0,0,no,59,female,"married, spouse present",black/african american/negro,not hispanic,"no, not in the labor force","no, not in school"
2004,ohio,0,0,no,82,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,wyoming,8100,440,yes,32,female,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,tennessee,55000,0,no,30,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,kansas,19200,0,no,59,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,virginia,25000,0,no,59,male,"married, spouse present",other asian or pacific islander,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,0,450,no,72,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,virginia,30000,0,no,21,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,60000,0,no,58,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,colorado,8000,580,no,37,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,washington,180000,0,no,42,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,29000,0,no,45,male,never married/single,white,not hispanic,"no, not in the labor force","no, not in school"
2004,florida,999999,0,no,9,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,new york,7000,0,no,19,male,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2004,wyoming,40000,578,no,39,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,32000,0,no,31,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,maryland,35000,0,no,41,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,south dakota,0,0,no,54,male,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,texas,105000,0,no,36,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,ohio,46400,0,no,51,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,illinois,50000,0,no,37,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2004,pennsylvania,46000,0,no,51,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,michigan,46000,0,no,26,female,never married/single,other asian or pacific islander,not hispanic,"yes, in the labor force","yes, in school"
2004,massachusetts,32000,0,no,45,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,florida,0,0,no,33,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,virginia,999999,0,no,0,male,never married/single,white,not hispanic,n/a,n/a
2004,pennsylvania,30100,0,no,39,male,"married, spouse present","other race, nec",other,"yes, in the labor force","no, not in school"
2004,north carolina,12000,0,no,47,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,66000,0,no,46,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,oregon,11000,0,yes,60,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,washington,30000,0,no,52,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,kansas,15500,0,no,38,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,new york,0,1750,no,92,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2004,pennsylvania,999999,0,no,12,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,delaware,0,0,no,73,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2004,new york,0,230,yes,54,female,widowed,other asian or pacific islander,not hispanic,"no, not in the labor force","no, not in school"
2004,florida,1300,790,no,32,male,"married, spouse absent",white,not hispanic,"yes, in the labor force","no, not in school"
2004,texas,999999,0,no,3,male,never married/single,white,not hispanic,n/a,"no, not in school"
2004,district of columbia,999999,750,no,8,male,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,texas,999999,0,yes,15,female,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2004,new york,999999,1030,no,3,male,never married/single,black/african american/negro,not hispanic,n/a,"no, not in school"
2004,oregon,999999,872,no,3,female,never married/single,white,not hispanic,n/a,"yes, in school"
2004,new jersey,70000,0,no,52,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2004,georgia,999999,0,no,11,male,never married/single,white,not hispanic,n/a,"yes, in school"
2004,ohio,38000,0,no,39,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2004,california,0,0,no,75,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2005,georgia,999999,0,no,8,male,never married/single,black/african american/negro,not hispanic,n/a,"yes, in school"
2005,tennessee,20000,0,no,54,female,"married, spouse present",black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2005,california,0,1160,no,19,female,never married/single,white,other,"no, not in the labor force","yes, in school"
2005,iowa,53000,0,no,49,male,"married, spouse present",white,not hispanic,"yes, in the labor force","yes, in school"
2005,ohio,999999,0,no,15,male,never married/single,white,not hispanic,n/a,"yes, in school"
2005,ohio,0,800,yes,36,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2005,wisconsin,5600,680,no,54,female,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2005,tennessee,56000,0,no,46,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,illinois,10700,0,yes,38,male,divorced,white,not hispanic,"yes, in the labor force","no, not in school"
2005,delaware,0,440,no,82,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2005,new jersey,0,260,no,84,female,never married/single,white,not hispanic,"no, not in the labor force","no, not in school"
2005,idaho,100000,0,no,46,male,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2005,south carolina,9900,0,no,57,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,maine,0,0,no,47,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,florida,32000,0,no,60,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,massachusetts,999999,0,no,6,female,never married/single,white,not hispanic,n/a,"yes, in school"
2005,texas,999999,0,yes,8,female,never married/single,white,not hispanic,n/a,"yes, in school"
2005,colorado,0,0,yes,79,female,widowed,japanese,not hispanic,"no, not in the labor force","no, not in school"
2005,texas,2500,0,no,50,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,kansas,70000,0,no,46,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,indiana,39000,700,no,26,female,never married/single,white,not hispanic,"yes, in the labor force","no, not in school"
2005,west virginia,38500,0,no,57,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2005,north carolina,0,0,no,45,male,divorced,white,not hispanic,"no, not in the labor force","no, not in school"
2005,virginia,0,0,no,83,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2005,mississippi,12400,0,yes,37,female,"married, spouse present",black/african american/negro,not hispanic,"yes, in the labor force","no, not in school"
2005,arizona,75000,440,no,32,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,south carolina,20000,0,no,54,female,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,illinois,14600,0,no,35,male,"married, spouse present","other race, nec",mexican,"yes, in the labor force","no, not in school"
2005,florida,0,0,no,78,female,"married, spouse present",white,not hispanic,"no, not in the labor force","no, not in school"
2005,oklahoma,57000,604,no,45,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
2005,new york,999999,0,no,15,female,never married/single,white,not hispanic,n/a,"yes, in school"
2005,texas,999999,0,no,5,male,never married/single,white,not hispanic,n/a,"yes, in school"
2005,minnesota,0,480,no,92,female,widowed,white,not hispanic,"no, not in the labor force","no, not in school"
2005,massachusetts,1000,700,no,22,female,never married/single,white,not hispanic,"yes, in the labor force","yes, in school"
2005,kentucky,0,0,yes,52,male,"married, spouse present",white,not hispanic,"yes, in the labor force","no, not in school"
